code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01160,2026,10026.0,12.490580726318,26770.0,4.1922
01162,2026,65.0,6.25,21550.0,0.0
01163,2026,2038.0,6.1083698498657,22760.0,3.3572
01165,2026,1594.0,4.24589163313061,24830.0,0.0
01166,2026,2423.0,5.02958579881657,25200.0,5.5651
01167,2026,634.0,4.39610055309855,23170.0,0.0
01169,2026,641.0,4.89496840339975,23800.0,0.0
01170,2026,1053.0,8.10715279047461,23020.0,0.7952
01171,2026,844.0,8.91085224814579,23720.0,0.0
01173,2026,13121.0,11.3841278258335,33070.0,3.7577
01174,2026,178.0,5.37634408602151,25000.0,0.0
